A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A21 A22 A23 A24 A25 A26 A27 A28 A29 A30 A31 A32 A33 A34 A35 A36 A37 A38 A39 A40 Class
-0.70652 -0.46863 0.13032 -0.50982 0.12147 0.21197 -0.65592 -0.18480 -0.26391 -0.36481 -0.70652 -0.75944 -0.26161 -0.58297 -0.12697 0.27306 -0.83831 -0.39001 -0.33379 -0.39301 -0.70652 -0.97633 -0.29767 -0.95233 -0.68352 -0.69291 -0.96609 -0.75099 -0.74427 -0.40495 -0.70652 -1.09897 -0.39685 -1.06491 -0.40180 0.09635 -1.09969 -0.53952 -0.35234 -0.29555 3
-0.44593 0.70888 0.46847 0.63710 0.69790 0.52659 0.21799 0.52103 0.49447 -0.14138 -0.44593 0.27667 0.41540 0.35972 0.45722 0.36760 -0.05058 0.27816 0.23333 0.10651 -0.44593 -0.44022 0.84514 -0.26452 0.42364 0.44851 -0.57098 0.21787 0.43969 0.76865 -0.44593 0.16543 0.15707 0.08701 0.24876 -0.14431 0.48479 0.39829 0.42696 0.60066 14
-0.57868 0.36341 1.58502 0.31996 0.88439 0.72886 0.36281 0.81966 0.79104 1.72863 -0.57868 0.40314 0.74203 0.52523 0.83130 0.58188 0.74226 0.84782 0.80487 0.97062 -0.57868 -0.11585 -0.08795 -0.02265 0.12025 0.13035 -0.10125 0.05843 0.09915 -0.04031 -0.57868 0.24479 0.98037 0.03843 0.82125 0.77138 0.42385 0.80089 0.81909 1.03420 6
-0.32301 -0.17182 -0.15041 0.02454 0.16810 0.37377 -0.03170 0.12740 0.26145 -0.04039 -0.32301 -0.17085 0.10659 0.08627 0.35473 0.43692 -0.11708 0.20963 0.35738 0.22709 -0.32301 -0.03926 0.16432 0.18520 0.47880 0.66328 -0.02662 0.20969 0.51096 0.35804 -0.32301 -0.26309 0.27511 -0.23220 0.32683 0.58355 -0.38058 0.14726 0.35746 0.35153 10
0.38009 -0.33239 -0.72783 -0.64015 -0.77707 -1.01059 -0.35130 -0.58748 -0.95026 -0.90959 0.38009 -0.68161 -1.02176 -0.55419 -1.05962 -0.88661 -0.70531 -1.09673 -1.24207 -1.26860 0.38009 -0.07080 -0.46788 -0.18894 -0.40772 -0.29520 -0.10564 -0.29314 -0.35621 -0.51220 0.38009 0.14956 -0.06389 0.44091 0.18110 0.31940 0.26540 0.14253 0.12914 -0.09495 2
-0.32301 1.24898 0.07928 1.45384 1.05816 0.87718 1.37154 0.98254 0.99864 0.32994 -0.32301 0.41773 0.24021 0.49644 0.38035 -0.17442 0.64508 0.68506 0.54347 0.60603 -0.32301 -0.68801 0.38923 -0.71424 -0.16737 -0.19179 -0.85195 -0.30949 -0.24930 0.27531 -0.32301 0.75795 0.79270 0.78787 0.81604 0.44854 0.97233 1.08981 1.06727 0.93067 14
0.05067 0.42180 0.90871 0.78046 1.10902 0.85471 0.64246 0.87395 0.85035 1.00939 0.05067 -0.23895 0.40946 0.07187 0.52896 0.88440 -0.08639 0.34241 0.48587 0.46823 0.05067 0.00128 0.33452 -0.11713 0.06509 -0.02476 -0.01345 0.14428 0.07539 0.28450 0.05067 0.56750 0.89561 0.49642 0.85248 0.83008 0.42995 0.79615 0.80916 0.82390 8
0.79802 1.32683 1.85299 1.81008 1.93127 1.72218 1.13683 1.88745 2.04087 1.55417 0.79802 2.02296 1.57642 1.69100 1.57947 0.86549 1.96478 1.79011 1.45617 1.58498 0.79802 2.17276 2.52289 2.05968 2.31093 1.80868 1.20260 2.22508 2.07109 2.38045 0.79802 1.98532 1.48888 1.44016 1.42496 0.88878 2.01444 1.75291 1.65795 1.77834 13
-0.90319 1.04461 0.59927 0.63275 0.27829 -0.16559 1.09689 0.60248 0.35042 0.58703 -0.90319 1.45383 0.88753 0.44607 0.97479 -0.07988 2.01081 1.33181 1.34984 1.36967 -0.90319 0.41576 -0.99066 0.65004 0.16359 0.71100 0.45629 -0.30949 -0.00776 -1.12505 -0.90319 -0.10967 -1.06275 0.09395 -0.79213 -1.17154 0.11914 -0.60583 -0.44665 -0.60614 7
1.45196 0.85972 1.68391 1.44949 0.98187 1.19630 1.25169 1.39427 1.29944 1.90920 1.45196 1.41978 1.46358 1.59025 1.17977 1.21213 1.49419 1.19904 1.04856 1.36392 1.45196 1.78982 2.13385 2.01811 1.73174 1.49051 2.09817 1.78358 1.90874 2.11999 1.45196 1.81603 2.36363 1.16259 1.64876 1.71643 1.84380 1.95184 1.71255 2.19894 13
0.00150 0.89378 1.28195 1.07153 1.23617 0.74234 0.70238 1.37618 1.08337 1.22669 0.00150 1.19602 1.50812 1.07213 1.07215 0.85289 1.59137 1.42176 1.29667 1.67971 0.00150 1.10504 2.71134 1.93875 2.14544 1.63766 1.12797 2.37634 2.19780 2.94120 0.00150 1.34518 2.12451 0.93359 1.43537 1.11771 2.28867 2.20760 1.67780 2.32512 13
0.18834 0.48992 1.22134 0.28520 0.75300 0.98505 0.50762 0.88300 1.02829 1.64599 0.18834 0.66581 0.70046 0.44607 0.66220 0.28566 0.69111 0.76644 0.72512 0.82421 0.18834 0.58695 0.18559 0.61981 0.75460 0.77861 0.72408 0.73704 0.79210 0.25386 0.18834 0.53576 1.27397 0.37152 1.29485 1.14119 0.71637 1.27927 1.26582 1.20567 6
0.19326 0.57750 0.73006 0.76308 0.76571 0.89516 0.71736 0.70654 0.73596 0.51970 0.19326 -0.01519 0.56981 0.37411 0.58533 1.20583 0.05172 0.33384 0.42827 0.40795 0.19326 0.29412 0.43178 0.24567 0.51426 0.61157 0.32898 0.56535 0.62183 0.63076 0.19326 0.68918 0.15707 0.91971 0.45694 0.34288 0.68590 0.47881 0.55601 0.38065 8
-0.42134 0.62129 0.74282 0.20266 0.03247 -0.27796 0.50263 0.48484 0.31229 0.80127 -0.42134 1.15225 1.10429 0.25178 0.85693 0.19112 1.50442 1.18619 1.29667 1.22900 -0.42134 0.87528 -1.09400 0.98639 0.33696 1.02519 1.02700 0.11158 0.51492 -0.78186 -0.42134 0.54634 -0.56635 0.37152 -0.27689 -0.73717 0.10696 -0.21271 -0.09423 -0.41525 7
0.33584 0.45586 0.12394 0.34602 0.43935 0.55356 0.46268 0.39887 0.44786 0.33301 0.33584 0.40800 0.58169 0.51084 0.66220 0.83398 0.23075 0.58226 0.69854 0.64048 0.33584 0.61849 0.65062 0.53289 0.76248 0.73486 0.33337 0.55717 0.66935 0.43771 0.33584 0.73150 0.84719 0.73929 0.94616 1.13532 0.52136 0.78194 0.95310 0.86596 10
1.75680 1.66743 1.24686 1.59720 1.37604 1.11989 1.43147 1.43047 1.23166 0.96348 1.75680 1.05496 0.90534 1.87090 1.19514 1.64070 1.04917 0.86923 0.79158 0.44240 1.75680 1.37986 0.66582 1.14889 0.89644 0.73486 1.57575 1.17446 1.05740 0.85752 1.75680 1.48273 0.83205 1.47485 0.87329 0.40158 1.34408 0.85772 0.50637 0.33535 8
0.98486 -0.35672 -0.03557 -0.56195 -0.60329 -0.72293 -0.37127 -0.56486 -0.66216 -0.20260 0.98486 -0.30705 -0.15174 -0.50381 -0.31145 -0.27526 -0.75647 -0.59989 -0.64837 -0.57674 0.98486 0.11391 -0.25816 0.05293 -0.06099 -0.13612 0.09630 0.00120 0.00808 0.05468 0.98486 -0.20490 -0.10627 -0.10035 -0.08953 0.20201 -0.31354 -0.29322 -0.32752 -0.46055 9
2.95158 1.83773 0.17498 1.28875 0.41816 0.38276 1.47641 0.40340 0.54531 0.55949 2.95158 1.78947 0.84893 1.67660 0.59045 0.36760 1.02871 0.41522 0.40169 0.53713 2.95158 2.22682 0.66278 1.75356 0.97131 0.94963 2.01037 1.16220 1.12472 0.57561 2.95158 2.40855 1.80972 2.75861 2.12756 2.50299 2.14851 1.68186 1.65795 1.24126 10
-0.17550 0.22717 0.27068 0.11143 0.31220 0.47266 -0.24643 0.11383 0.15977 -0.26993 -0.17550 -0.14167 0.00860 0.27337 0.33423 0.68902 -0.26541 0.06400 0.08268 -0.10306 -0.17550 -0.19244 -0.14570 -0.27964 -0.17525 -0.19179 -0.32075 -0.18685 -0.20970 -0.20884 -0.17550 -0.48529 -0.50581 -0.16281 -0.37577 -0.05040 -0.17947 -0.35953 -0.25803 -0.27613 3
0.56202 0.59210 0.67902 0.81956 0.64280 0.85021 0.89714 0.81966 1.07066 0.89921 0.56202 -0.03465 0.39462 0.32374 0.38035 0.92222 0.11310 0.16680 0.31751 0.31608 0.56202 0.46531 0.06098 0.33259 0.13207 0.11046 0.55726 0.32007 0.29714 0.12210 0.56202 0.90079 0.55964 0.96829 0.63389 0.53072 0.80779 0.58301 0.58579 0.57801 8
-0.83927 0.48019 0.89595 0.75440 0.82929 0.67042 0.56256 0.72012 1.07913 1.22057 -0.83927 0.45178 0.71828 0.38850 0.63145 0.23524 0.86503 0.87780 0.81373 0.99072 -0.83927 -0.44923 -0.37366 -0.26830 0.02963 0.20194 -0.27685 0.03390 0.10311 -0.19046 -0.83927 0.03317 0.75033 -0.03096 0.71196 0.56007 0.33244 0.77721 0.85880 0.86272 6
-0.74585 -1.08172 -0.36096 -0.94860 -0.62448 -0.68248 -1.28013 -0.70964 -0.65792 -0.42602 -0.74585 -1.31884 -0.82875 -1.21623 -0.92126 -0.49585 -1.18613 -0.96395 -0.83002 -0.71167 -0.74585 -1.07995 -0.68672 -0.94477 -0.84900 -0.73665 -0.94853 -0.82049 -0.76011 -0.51833 -0.74585 -1.41639 -0.63899 -1.12736 -0.53711 0.08461 -1.02656 -0.62951 -0.39205 -0.38614 9
-0.30334 -0.39565 0.05694 -0.04497 0.07485 0.51311 -0.07165 0.10478 0.39279 0.43400 -0.30334 -0.65242 -0.20816 -0.60456 -0.37294 -0.13030 -0.69508 -0.39858 -0.28949 -0.22363 -0.30334 0.01480 0.27069 -0.01887 0.15571 0.17410 -0.05296 0.10749 0.11103 0.09758 -0.30334 -0.01973 0.24182 0.12864 0.41530 0.41919 -0.10634 0.25620 0.25819 0.14123 8
-0.31317 0.48019 0.62798 0.71095 0.99035 0.98056 0.55257 1.04136 1.03677 0.92676 -0.31317 0.28639 0.73609 0.94260 1.03116 1.18692 0.59393 0.86923 0.93779 0.86153 -0.31317 0.21753 0.31021 0.59713 0.75460 0.89792 0.32459 0.45088 0.74855 0.38869 -0.31317 0.20775 0.72914 0.57275 0.92013 0.99444 0.45432 0.87667 0.84390 0.73331 10
-0.88844 -2.43440 -1.70401 -2.68200 -2.70554 -3.10512 -2.47364 -2.57828 -2.75510 -1.68697 -0.88844 -1.66907 -1.59484 -1.94303 -1.81804 -1.69963 -1.65161 -1.68781 -1.75602 -1.57291 -0.88844 -0.90876 -1.18822 -0.95233 -1.20361 -1.22186 -0.94414 -1.05760 -1.25111 -1.31197 -0.88844 -1.87665 -1.60153 -2.26539 -2.14528 -2.10485 -2.08695 -2.05991 -2.28321 -1.85824 4
-0.01325 -1.21309 -1.38499 -1.54377 -1.82395 -2.11179 -1.34505 -1.65527 -1.94589 -1.48804 -0.01325 -0.58919 -1.10193 -0.50381 -0.96225 -0.95593 -0.71554 -0.96395 -1.12244 -1.24851 -0.01325 -0.05728 -0.69280 -0.22295 -0.47076 -0.48212 -0.02662 -0.21546 -0.46313 -0.76347 -0.01325 -0.63342 -0.90536 -0.66937 -0.94826 -0.88392 -0.72795 -0.93264 -1.12667 -1.13675 4
-0.22959 0.60670 1.83385 0.38078 1.10478 0.87269 0.70737 1.05946 0.91814 1.79290 -0.22959 0.70959 0.83408 0.53242 0.90305 0.43062 0.85480 0.95490 0.91121 0.93617 -0.22959 0.26709 -0.05148 0.33637 0.33696 0.27352 0.34654 0.40591 0.41197 0.05468 -0.22959 0.51988 0.82600 0.37845 0.94095 0.71269 0.61887 0.93824 1.09209 1.04714 6
-0.62293 0.06173 0.99484 0.38512 0.99882 0.92213 -0.05667 0.84680 1.06219 0.74006 -0.62293 0.78742 0.96770 0.56841 0.84155 0.72684 0.78830 1.04913 1.01754 1.17158 -0.62293 1.05098 1.76912 1.35675 1.72386 1.44676 0.67140 1.47697 1.48505 1.71551 -0.62293 0.88492 1.06814 0.60745 0.95136 0.71856 0.97842 1.18927 1.22611 1.38362 13
-0.18534 0.24177 0.35044 0.68489 0.70213 0.79178 0.59252 0.66130 0.79104 0.44625 -0.18534 -0.29733 0.52230 0.11505 0.59045 0.97264 -0.05058 0.49232 0.57005 0.49120 -0.18534 -0.12937 0.18255 -0.06800 0.09661 0.12637 -0.11442 0.02164 0.05164 0.06081 -0.18534 0.45111 0.61412 0.37152 0.73798 0.54246 0.26540 0.60669 0.70492 0.55860 8
-0.20992 0.64562 0.76196 0.08971 0.31220 -0.37234 0.41274 0.65225 0.30381 0.74924 -0.20992 1.26899 1.27651 0.28776 1.06703 0.26675 1.47373 1.29327 1.38528 1.25196 -0.20992 0.92934 -1.25205 0.89947 0.21875 0.88202 1.12358 0.00529 0.32486 -0.92281 -0.20992 0.67331 -0.49068 0.47560 -0.29250 -0.66086 0.06430 -0.26481 -0.13394 -0.51232 7
1.17170 0.86945 0.41743 0.87604 1.14293 0.67941 1.41149 1.17709 0.82917 0.49828 1.17170 0.66095 0.44213 0.48205 0.53409 0.27306 0.26656 0.43235 0.33523 0.18976 1.17170 0.37521 1.11261 0.27212 0.60094 0.61953 0.49580 0.66755 0.69311 1.20990 1.17170 1.13357 0.60504 0.85032 0.72757 0.34288 0.74684 0.72511 0.75952 0.62330 14
1.35854 1.58958 0.68221 1.28441 0.99458 0.87269 1.15681 1.05493 0.99016 0.66355 1.35854 1.42465 0.82814 1.66221 0.94404 0.94743 0.94175 0.82640 0.80487 0.78115 1.35854 1.63665 0.88162 1.25093 1.23923 1.03712 1.24211 1.24396 1.19203 0.75640 1.35854 1.19176 1.13171 1.45404 1.37292 1.35250 1.22219 1.09455 1.03252 0.77213 10
0.49810 -0.42484 -0.14403 -0.40121 -0.23879 -0.09367 -0.51110 -0.41102 -0.39525 -0.37705 0.49810 -0.47244 0.00860 -0.19438 0.17025 0.81507 -0.55698 -0.32148 -0.20087 -0.35282 0.49810 -0.27353 -0.34023 -0.43458 -0.54168 -0.68098 -0.36904 -0.52207 -0.63735 -0.36512 0.49810 -0.77097 -0.65716 -0.65549 -0.77652 -0.32628 -0.74014 -0.89949 -0.78418 -0.70968 9
-0.46559 -0.40051 0.56737 -0.27522 0.11724 0.35580 -0.23644 0.15002 0.49447 0.92064 -0.46559 0.13560 -0.02406 0.03589 -0.02448 -0.25005 0.18472 0.22676 0.25991 0.31608 -0.46559 -0.12486 -0.30983 -0.04533 0.03357 0.08262 -0.00467 0.09522 0.17835 -0.08934 -0.46559 -0.29483 0.67768 -0.29465 0.77441 1.00618 -0.28917 0.50249 0.69499 0.63948 6
-0.16075 -1.01846 -0.53323 -0.72703 -0.81945 -0.48471 -0.89562 -0.78656 -0.40796 -0.23014 -0.16075 -0.95401 -0.59121 -0.61175 -0.60867 -0.07358 -0.68997 -0.67270 -0.46228 -0.41885 -0.16075 -0.48978 -0.43141 -0.29475 -0.32891 -0.19179 -0.36904 -0.44439 -0.27306 -0.22110 -0.16075 -0.89793 -0.58148 -0.75264 -0.68804 -0.37911 -0.88640 -0.85212 -0.80900 -0.69350 9
-0.26892 0.69428 0.78429 0.31561 0.36730 -0.24200 0.77229 0.60248 0.40973 0.82270 -0.26892 1.31763 1.13992 0.37411 1.04653 0.48104 1.57603 1.21189 1.36313 1.34096 -0.26892 0.70859 -1.31587 0.80121 0.09267 0.66328 0.99626 -0.08056 0.10707 -0.99329 -0.26892 0.62040 -0.58754 0.75317 -0.26128 -0.52586 0.32025 -0.25533 0.01497 -0.42820 7
-0.30826 0.10552 0.18774 0.00716 0.39697 0.32883 -0.24144 0.06858 -0.05631 -0.37705 -0.30826 -0.37516 -0.11611 -0.15840 0.08313 0.28566 -0.53140 -0.12446 -0.12555 -0.29827 -0.30826 -0.76009 -0.27336 -0.81250 -0.67958 -0.87983 -0.73781 -0.65288 -0.74031 -0.33754 -0.30826 -0.85032 -0.54214 -0.74570 -0.69845 -0.37911 -0.72185 -0.66267 -0.54096 -0.45731 3
0.15884 -0.41511 -0.74378 -0.69228 -0.87455 -1.06453 -0.42620 -0.70964 -1.02228 -0.84532 0.15884 -1.05130 -1.33354 -1.15146 -1.56694 -1.50425 -1.08383 -1.49935 -1.63639 -1.48679 0.15884 -0.34561 -0.76878 -0.53662 -0.88446 -0.88778 -0.46562 -0.71829 -0.85514 -0.83701 0.15884 0.18659 0.12377 0.28131 0.35805 0.53072 -0.00883 0.13779 0.14899 -0.05289 2
4.07261 2.94712 1.26600 2.48345 1.72359 1.72218 3.16429 2.19059 1.79514 1.58784 4.07261 2.51912 1.73676 2.74163 1.94843 2.12600 1.97501 1.64877 1.67770 1.35531 4.07261 3.14137 1.21291 2.35446 1.76720 1.43881 2.74351 1.98798 1.61176 0.74414 4.07261 3.36082 1.91263 3.52887 2.34095 2.23298 2.55072 1.89974 1.62816 1.32538 10
0.09492 -0.42484 -1.92732 -0.24481 -1.01442 -0.15660 -0.11659 -1.12138 -0.86552 -1.63188 0.09492 -0.73512 -1.42856 -0.66213 -1.27997 -1.22694 -0.80762 -1.23379 -1.26422 -1.35186 0.09492 -0.77811 -0.14570 -1.02414 -0.94750 -1.27754 -0.86951 -0.86546 -1.01749 -0.21497 0.09492 -0.04618 -1.10513 -0.01014 -0.90663 -1.15980 -0.28307 -0.84739 -0.98273 -1.13351 12
0.42926 0.47532 1.62330 0.77177 1.42266 1.28170 0.90213 1.33998 1.22742 1.61845 0.42926 0.79228 2.14059 0.47486 1.43086 2.10079 0.89060 1.48173 1.34984 1.91799 0.42926 1.19064 2.60192 1.60996 2.07452 1.59391 1.31674 2.41313 2.01565 2.68381 0.42926 1.36634 2.57551 0.85032 1.73723 2.03340 1.52081 2.11761 1.92598 2.64542 13
-0.01817 0.00334 -0.33863 0.07233 -0.11588 0.11758 0.15307 -0.03096 0.05385 -0.16587 -0.01817 -0.20490 0.07690 0.10066 0.20612 0.50625 -0.23472 0.00832 -0.01036 -0.11167 -0.01817 0.06435 -0.27640 0.02270 -0.07675 0.01501 0.06996 0.03799 0.00808 -0.25174 -0.01817 0.28182 0.49607 0.40621 0.62868 0.48376 0.20446 0.47881 0.35746 0.25447 2
-1.15394 -1.64128 -0.70550 -1.40910 -1.10342 -1.02857 -1.60473 -1.09423 -1.00533 -0.60659 -1.15394 -1.84418 -1.14053 -1.80631 -1.37733 -0.82358 -1.53908 -1.34944 -1.22434 -1.01023 -1.15394 -1.60706 -0.91163 -1.43985 -1.36909 -1.32128 -1.47973 -1.37237 -1.30259 -0.81250 -1.15394 -1.92956 -1.02643 -1.86292 -1.23971 -0.76652 -1.69692 -1.31629 -1.23587 -1.03321 9
-0.24925 0.97649 1.00760 0.65447 0.32068 -0.29144 1.14682 0.72012 0.49023 1.02469 -0.24925 1.51221 1.22010 0.26617 1.00041 0.36760 1.99547 1.35751 1.34098 1.44144 -0.24925 0.56443 -1.36147 0.74830 0.08479 0.83827 1.02700 -0.10918 0.13083 -0.98716 -0.24925 0.60453 -0.49068 0.73236 -0.07912 -0.46129 0.38729 -0.09903 0.14403 -0.32143 7
-0.55410 -0.15723 0.61203 0.18963 0.45207 0.69739 0.07317 0.46222 0.64699 0.67273 -0.55410 -0.79835 -0.08048 -0.59736 -0.11672 0.38020 -0.71043 -0.28293 -0.10340 -0.06574 -0.55410 -0.41319 0.04274 -0.38168 -0.19889 -0.21168 -0.40416 -0.17867 -0.09091 0.13129 -0.55410 -0.04089 0.49607 0.05925 0.52980 0.53659 0.00335 0.49776 0.50141 0.45183 8
-0.29842 -1.42719 -0.60022 -1.28746 -1.04409 -0.93418 -1.29511 -1.09875 -0.92907 -0.45968 -0.29842 -1.28479 -0.73967 -1.14427 -0.85977 -0.43913 -1.10941 -0.99394 -0.92306 -0.81215 -0.29842 -0.89524 -0.48004 -0.88053 -0.78990 -0.78836 -0.85195 -0.74691 -0.72843 -0.32222 -0.29842 -1.41110 -0.77823 -1.54371 -1.13562 -0.76065 -1.47144 -1.30682 -1.35500 -1.08498 9
0.97011 -0.03558 0.09204 0.04192 0.04094 0.55356 0.12810 0.15907 0.37160 0.26873 0.97011 -0.03465 -0.13690 0.82746 0.37010 1.08608 0.36886 0.12825 0.41498 0.06058 0.97011 0.36169 0.02754 0.54800 0.46698 0.77861 0.76798 0.44679 0.64559 0.41933 0.97011 0.18659 0.21458 0.76011 0.59746 1.28206 0.51527 0.30356 0.40710 0.11858 9
0.41451 0.32935 0.33768 0.40250 0.28253 0.35130 0.52760 0.38530 0.46905 0.67885 0.41451 0.33017 0.84299 0.40289 0.60583 0.94743 0.14891 0.39809 0.45043 0.56297 0.41451 0.65453 0.47433 0.66516 0.62852 0.73089 0.59677 0.61440 0.70103 0.49594 0.41451 0.54105 0.98642 0.51030 0.88891 1.04140 0.32635 0.67300 0.59572 0.72684 10
-0.13617 0.70401 0.23878 0.32430 0.07061 -0.40381 0.82223 0.29933 0.10892 0.27179 -0.13617 1.57544 0.63810 0.78429 0.76469 -0.58409 1.44303 1.12622 1.13717 0.97637 -0.13617 1.04648 -0.61073 0.75964 0.48668 0.67123 0.59238 0.05434 -0.02756 -1.28439 -0.13617 0.49343 -0.95681 0.32988 -0.64120 -1.28307 0.15571 -0.40690 -0.54096 -0.72262 7
-0.03292 0.29529 0.09523 0.45463 0.25710 0.38726 0.18803 0.18622 0.35465 0.09122 -0.03292 0.01886 0.41540 0.23019 0.23687 0.51255 -0.04035 0.14538 0.11370 0.25579 -0.03292 0.60497 0.83906 0.63870 0.82946 0.76270 0.61872 0.81063 0.81982 0.78704 -0.03292 0.42466 0.59898 0.64908 0.67032 0.87117 0.54574 0.64932 0.64536 0.74625 8
0.19817 -0.51243 -0.79482 -0.72703 -0.74740 -0.73641 -0.46116 -0.50151 -0.71300 -0.69535 0.19817 -0.85186 -0.92674 -0.73409 -0.88539 -0.42652 -0.76158 -0.92540 -0.90534 -0.94133 0.19817 -0.34111 -0.61985 -0.41191 -0.61654 -0.54973 -0.30319 -0.51389 -0.58588 -0.57042 0.19817 -0.13083 -0.22432 0.01761 -0.03228 0.14918 -0.14900 -0.16534 -0.12898 -0.28907 2
-0.85894 -2.01594 -1.55407 -2.08682 -2.04011 -2.10730 -1.93431 -1.93127 -1.99673 -1.37480 -0.85894 -1.36748 -1.36620 -1.25221 -1.33634 -1.20173 -1.15033 -1.22094 -1.22877 -1.22554 -0.85894 -0.84569 -1.23077 -0.83896 -1.13269 -0.98323 -0.88268 -1.03716 -1.12044 -1.22923 -0.85894 -1.73381 -1.72563 -1.93925 -2.19212 -2.11072 -1.80053 -2.03149 -2.20379 -1.83235 4
-1.02611 -2.44413 -1.85075 -2.62118 -2.65891 -2.96129 -2.44367 -2.52399 -2.69579 -1.80634 -1.02611 -1.78581 -1.82051 -1.99340 -2.03839 -1.87610 -1.65673 -1.79917 -1.81805 -1.64181 -1.02611 -1.18357 -1.11223 -1.18286 -1.34545 -1.44855 -1.12413 -1.11074 -1.24319 -0.99022 -1.02611 -2.12001 -1.47743 -2.46663 -2.10885 -1.84070 -2.14789 -2.02202 -2.16408 -1.67706 4
