FLength FWidth FSize FConc FConc1 FAsym FM3Long FM3Trans FAlpha FDist Class
0.96788 0.64418 1.52603 -1.39450 -1.33617 1.03464 1.70862 1.15779 -0.95948 -0.12274 1
0.07187 0.23783 0.59414 -0.91094 -0.94977 0.65571 1.01433 -0.93229 0.47103 -0.98639 2
-0.63674 -0.72350 -0.05315 0.76678 0.55238 0.29232 0.07841 -0.15348 -0.77872 0.56937 2
-0.79123 -0.19659 -1.04450 0.49545 0.23024 0.27703 -0.56566 -0.62184 -0.72378 -0.70446 1
-0.56189 -1.20888 -1.23685 1.40898 1.72425 -0.12777 -0.57222 -0.01199 1.59980 0.37760 1
2.27084 2.53586 3.42199 -1.83978 -1.77415 -0.07912 -2.50653 -1.89380 2.25935 -0.62723 2
-0.39174 -0.09769 -0.07431 -0.45691 -0.48193 -0.33353 -0.85449 -0.42888 1.20294 -1.80252 1
-0.65829 -0.59510 -0.32357 0.71262 0.43565 0.27766 0.07794 0.33513 -1.02217 0.00151 1
-0.94177 -0.63555 -0.98229 2.25741 1.78397 -0.17561 -0.27226 0.55831 1.50812 -0.21109 1
-0.88594 -0.82058 -1.02228 1.48775 1.13967 0.23959 -0.37646 -0.36078 1.87936 -0.86886 2
-0.95092 -0.61330 -1.45310 1.93740 2.30249 0.30615 -0.33351 -0.03292 -0.56295 0.09299 1
1.15126 0.12087 1.19996 -0.92078 -0.93529 -1.73225 0.95877 0.22152 -0.98657 1.89662 1
-0.90801 -0.54135 -0.89278 1.57363 1.22292 0.02926 -0.27231 -0.25163 0.87455 0.03632 1
-0.60074 -0.32143 -0.58787 0.01462 -0.10730 0.37300 0.23767 0.49134 -0.17775 0.64393 1
0.87378 0.53096 1.12738 -1.22110 -1.12623 -0.57546 1.17178 0.73505 0.04055 1.40411 2
0.54759 0.22934 0.55521 -0.84584 -0.90995 -0.42985 1.00942 0.77127 -0.50081 1.49204 1
1.15327 -0.16133 0.90710 -0.29937 -0.20412 -0.66674 1.45455 0.77528 -0.90837 1.22634 2
0.50654 0.06261 0.92890 -0.33492 -0.33895 -0.54055 0.59287 0.91077 -0.89602 1.30447 1
-0.47731 -0.19841 -0.46831 -0.45910 -0.57876 0.67506 -0.72138 0.27983 -0.74638 -0.71823 1
-0.59088 -0.25787 -0.43234 -0.45582 -0.54437 -0.54834 -0.58959 -0.34047 1.23089 -2.24885 1
-0.07189 -0.92081 -0.51846 0.59775 0.14065 0.62379 0.08676 0.38793 0.19326 0.66565 2
-0.15818 -0.29749 0.12417 -0.04993 0.10988 0.35806 0.62144 -0.55484 -0.50223 -0.29884 1
-0.52254 -0.03973 0.10471 -0.68557 -0.65567 -0.07053 0.15009 0.53820 1.44778 -1.91504 1
-0.21803 -0.13903 0.65847 -0.78512 -0.75521 -0.66265 -0.81001 -0.22619 0.50008 -1.62442 2
-0.56974 -0.45261 -0.31913 1.20713 1.72515 0.26486 0.07465 0.28880 1.35635 -0.02987 2
-0.78476 -0.53226 -0.86951 0.63877 0.58587 0.04678 -0.06899 -0.49720 2.28698 -1.77171 2
1.80300 1.43329 1.78271 -1.15874 -0.86199 -2.51301 -2.64948 2.17697 -0.85542 2.47160 2
1.07330 0.25857 0.87324 -0.85897 -0.90814 -1.08150 0.57769 1.01806 -1.02692 2.09548 1
0.23185 -0.14247 -0.49984 0.02009 0.21485 0.69939 0.96826 0.28630 0.77375 -0.04768 1
0.64093 0.26496 1.39844 -1.15327 -1.17509 1.46116 1.22453 0.82745 -0.89092 0.72624 1
2.49777 4.00340 2.77406 -1.66309 -1.59226 -0.07407 2.01182 3.36002 2.20758 2.41193 2
-0.06914 0.01247 -0.14075 0.13223 0.35330 -0.18522 0.49869 1.04028 -0.77678 2.01620 1
4.69067 1.12094 -0.10182 -0.88687 -1.12170 -3.48757 -2.59007 0.66924 0.74968 -0.31793 2
-0.78521 -0.51371 -0.37901 0.09613 -0.10006 0.11954 -0.19514 0.24055 0.57928 0.45461 2
0.05626 -0.34473 -0.26115 -0.41643 -0.44030 0.30567 0.81025 -0.72314 -0.65721 -0.88441 1
-0.19308 -0.67138 -0.47995 0.00259 -0.05934 -0.94554 -0.74692 -0.28487 -0.76272 0.16067 1
0.75640 0.47580 1.74822 -1.40380 -1.38232 1.12907 1.26213 -0.83079 -0.96627 0.48060 1
-0.42800 0.20514 0.70058 -0.74027 -0.65024 -0.04272 -0.40909 0.45272 2.19362 -1.82049 1
2.81231 0.30789 1.08421 -1.11169 -1.06650 4.20849 -2.94467 0.84738 1.08038 -0.09778 2
-0.07788 -0.11103 0.93165 -1.05590 -1.08008 0.35881 0.14584 -0.28703 -1.04194 0.44071 1
-0.07407 0.27477 0.89567 -0.95962 -1.01492 -0.63177 -1.05346 0.89583 2.22495 -0.79193 2
0.50689 0.18184 1.08442 -1.15764 -1.16695 0.95951 0.92927 -0.44490 -0.88562 0.90371 1
0.13380 -0.45716 0.39926 -0.81357 -0.76969 0.74232 0.62618 0.44636 0.96619 0.70778 2
-0.28076 -0.09270 0.35969 -0.40932 -0.33624 0.56361 0.44685 -0.76716 -0.84725 -0.49005 1
-0.51230 -0.30703 -0.47762 -0.23646 -0.13263 0.05575 -0.63517 0.53426 -0.65208 0.04207 1
-0.95177 -0.59340 -1.45310 1.97733 1.77583 -0.17838 -0.07235 -0.53841 1.01296 0.13324 1
0.41942 -0.24154 0.48178 -0.85952 -0.76788 0.61013 1.27360 -0.34022 -1.02068 0.61299 1
0.15904 -0.44603 -0.11218 -0.43448 -0.43578 1.12983 0.55743 -0.21970 -0.85020 0.46971 1
-0.76973 -0.51201 -0.80116 1.03153 1.24645 0.26813 0.13938 -0.27642 0.47354 -0.91951 1
1.02579 0.53911 2.38598 -1.37153 -1.35246 -0.60278 1.28510 0.83738 -1.02658 1.27166 1
-0.65282 -1.20906 -1.33418 2.00906 2.07626 0.07317 -0.20678 -0.80862 1.28252 -1.15378 1
-0.03011 -0.48403 -0.43022 0.10214 0.12255 0.97678 0.72528 0.50609 -0.76515 -0.26141 1
2.95611 4.36171 1.12822 -1.32066 -1.30178 1.70338 2.20612 -4.15714 1.06943 1.02028 2
-0.45771 0.03632 0.38571 -0.49356 -0.52356 0.17601 -0.51935 -0.71403 -0.71662 -1.10669 1
0.99882 0.36354 1.83053 -1.24626 -1.20858 -0.98828 1.22473 0.77958 -0.93477 1.12141 1
-0.26157 -0.12031 -0.65833 0.03049 0.09450 -0.87253 -0.57610 -0.90886 -0.86211 1.51032 1
-0.60870 -0.82995 -1.34900 1.04521 1.08357 -0.13424 -0.43659 0.19031 -0.73122 -0.33094 1
-0.49652 -0.57712 -0.69007 -0.09806 0.04925 0.40372 0.19653 0.27628 0.57549 0.34771 2
-0.63091 -0.31997 -0.22899 0.20827 0.67183 0.23434 -0.36708 0.59015 -0.90016 -0.25034 1
-0.86687 -0.60422 -0.95288 1.45110 1.58941 0.02062 -0.08096 0.36775 0.36480 -0.52872 1
-0.29516 -0.14733 0.52981 -0.25451 -0.14349 0.77243 0.67256 -0.48207 -0.41339 -0.32034 1
-0.61455 -0.29100 -0.43001 0.13497 0.03749 0.09075 -0.21048 -0.36931 0.32607 -1.41494 2
-0.76128 -0.42002 -1.09550 1.92591 1.55503 -0.07317 -0.02818 0.43496 2.11370 -1.91902 2
-0.95470 -0.58390 -1.10185 1.82854 1.80750 -0.18339 -0.03254 0.32693 -0.51143 -1.34144 1
-0.72800 -0.19960 -0.47191 1.03372 0.97407 -0.02327 -0.48945 -0.14165 1.54084 -0.98970 2
-0.77852 -0.62378 -0.73916 1.28590 0.97769 -0.27163 -0.57074 -0.53887 1.12762 0.95798 2
-0.24602 -0.35800 -0.37690 -0.00835 0.14879 0.39462 -0.64040 0.47409 -0.99805 0.07068 1
-0.95025 -0.61307 -1.52970 2.02766 2.24276 0.30799 -0.32723 -0.43792 1.81402 -0.96908 1
0.52922 0.00632 0.25960 -0.69815 -0.65115 1.68640 0.42770 -0.13673 1.22558 -0.44230 2
-0.48018 -0.56720 -0.64859 0.25695 0.34697 0.04335 0.07373 0.52260 -0.79501 -1.17502 1
-0.46595 -0.61714 -0.30707 0.43473 0.26100 0.66653 0.36086 -0.31697 -0.67746 -1.41794 2
0.21249 -0.05408 0.83791 -0.59093 -0.55251 0.77197 0.72135 0.73548 -0.92981 0.99674 1
-0.43780 0.13070 0.66482 -0.56522 -0.67196 -0.19361 -0.40595 -1.22915 -0.03774 -0.15274 2
2.04299 3.74455 1.77340 -1.07559 -0.97692 -1.87161 -2.71723 -2.99461 0.99942 2.85895 2
-0.64902 0.05201 0.57192 -0.41151 -0.25299 -0.02554 -0.43885 0.81178 2.10538 -1.65676 1
0.15597 -0.10478 0.54928 -0.60351 -0.70997 -1.71832 0.49569 0.95886 -1.02221 1.62313 1
-0.56022 0.16935 -0.02712 -0.38634 -0.47107 -0.29505 -0.10636 -0.79410 1.02174 -1.00881 1
-0.25943 -0.10893 0.22680 -0.66751 -0.40320 0.67027 0.31885 0.62413 -0.79821 -0.72173 1
-0.24576 0.20454 0.08439 -1.17023 -1.09456 -0.44290 0.00271 0.58936 -0.61090 -0.75358 2
0.45705 -0.24326 0.50061 -0.89398 -0.83937 0.73237 0.96744 -0.74555 -0.81768 0.54011 1
-0.73022 -0.64338 -1.35492 0.95878 0.74875 -0.32400 -0.56718 -0.52066 -0.28478 0.35509 1
-0.33324 0.80742 0.50019 -0.88906 -0.91719 0.10966 -0.95546 -1.27023 1.48048 0.62918 2
-0.64890 -0.26473 -0.30432 0.07315 -0.14168 0.50621 0.17018 -0.62983 -0.66555 -0.86826 1
-0.37009 -0.65772 -0.08404 0.34995 0.09721 0.60032 0.15033 0.30150 1.53156 -0.67142 2
1.63130 1.02337 1.31697 -1.10240 -1.02035 -1.85461 -2.04478 1.27384 -0.54169 1.30528 2
0.28504 0.01997 0.69508 -1.08927 -1.03031 0.32846 0.72148 -0.65113 0.13838 -0.78579 1
-0.26608 -0.00230 0.10534 -0.41643 -0.47560 0.59985 0.29110 0.90154 -0.27005 -0.72955 1
-0.56196 -0.53012 -0.68182 1.02005 0.84196 -0.57282 -0.67897 0.08143 1.68568 0.26570 2
-0.82863 -0.81235 -1.23939 2.42808 2.51695 0.15503 -0.36550 0.18834 2.23600 -2.28910 1
-0.83405 -0.83731 -1.23262 1.53589 1.92785 0.36508 0.17895 0.12104 -0.15715 0.23009 2
-0.65914 -0.41979 -0.58279 0.09503 -0.01500 -0.23912 0.08323 0.24385 2.04662 -1.87344 1
-0.28136 -0.38818 -0.05505 -0.03844 -0.05210 0.35451 0.50761 -0.04020 -0.70987 -0.13839 1
-0.06296 -0.17871 -0.15345 -0.00179 0.10445 0.80117 0.52577 -0.50645 -0.14685 0.20399 2
-0.82884 -0.64058 -1.09063 1.24432 1.09624 0.10010 -0.35159 -0.32141 0.86558 -0.96356 1
-0.54456 -0.50541 -0.73620 0.01626 -0.17788 0.26239 0.19594 -0.25866 -0.62149 -1.43660 1
3.83502 1.74086 0.61213 0.29524 0.41936 -1.63667 -4.36721 -2.39216 -0.98487 2.18397 2
-0.63423 -0.18060 -0.57496 0.35268 0.49990 0.53391 0.21102 0.38583 0.21398 0.02213 1
3.36176 2.26635 0.57721 -0.26819 0.20671 -2.24740 -3.58857 -2.71525 0.11397 0.01715 2
-0.94905 -0.60212 -1.05741 2.05774 1.67267 -0.17786 -0.11636 0.54950 -0.07615 -0.71623 1
0.11548 -0.03043 1.00634 -1.10568 -1.10723 1.18384 0.70361 0.27580 -1.00043 0.41067 1
-0.95220 -0.66964 -0.54110 1.60973 1.58127 0.61042 -0.20380 0.31151 0.34009 0.18230 2
0.84474 0.16632 0.94688 -0.49192 -0.62581 -1.37424 -0.73979 0.76090 -0.92176 2.04547 1
0.65536 -0.33518 0.15359 -0.50888 -0.51632 1.18867 1.27728 -0.61886 -1.00685 0.40400 1
0.63585 0.30924 2.16613 -1.28127 -1.26468 0.90879 1.17270 0.82569 -1.02316 0.84166 1
3.18081 2.35595 1.55566 -1.46069 -1.37960 -5.75739 3.37558 -3.63473 2.09450 1.38738 2
-0.81390 -0.66317 -0.89278 1.29246 1.29441 0.43939 0.02765 -0.23499 0.88934 0.01398 1
-0.61929 -0.41238 -0.63484 0.38495 0.44832 -0.42167 -0.64893 -0.18917 0.44628 -2.24310 1
-0.48892 -0.13547 0.06577 -0.48043 -0.34800 0.50963 0.21063 0.71813 -0.01336 -0.76280 1
-0.59007 -0.66774 -0.78487 0.84226 0.55419 0.48746 -0.63737 0.29512 0.85625 0.65543 2
-0.40882 -0.00207 -0.02416 -0.60132 -0.67015 -0.03328 0.36494 -0.85105 -0.46241 -0.65915 1
0.74209 0.15478 1.39632 -0.98588 -0.78870 -0.82001 0.99289 0.62159 -0.94889 1.12242 1
-0.94597 -0.64188 -1.34603 2.23881 2.47985 0.29522 -0.09050 0.50081 -0.56827 0.78183 2
-0.05230 0.03194 -0.32357 -0.15988 -0.08467 0.42186 0.77212 0.78797 -0.70654 -1.54059 1
0.75674 -0.20267 0.43459 -0.64126 -0.88824 -1.03986 0.47316 -0.50626 -0.88831 -2.12899 2
-0.56892 -0.31700 -0.10457 -0.02641 -0.08377 -0.08851 -0.59077 0.51618 -0.47467 -1.03287 1
-0.61665 -0.53724 -0.67970 0.23452 0.14246 0.44107 -0.50471 0.33224 -0.91966 -0.57170 1
0.02173 -0.69614 -0.65050 0.65518 0.42117 -0.68489 -0.97356 0.40044 0.31440 -0.98664 2
-0.95757 -0.57154 -1.06164 1.73938 1.60389 -0.19358 -0.01756 -0.26072 1.93589 -0.52792 1
0.74617 0.29622 0.37069 -0.74628 -0.81675 -1.55306 0.55717 -1.12283 -0.81959 2.58119 1
-0.32249 -0.02687 -0.11070 -0.52966 -0.51451 0.34857 0.51238 0.50479 -0.37225 0.36362 1
0.35084 0.32596 0.79305 -0.38142 0.12889 -1.26818 -1.11969 -0.77507 0.32158 1.09521 2
1.83698 2.11533 0.95915 -1.51047 -1.13075 0.68017 1.96447 -2.30859 2.17668 -0.52168 2
-0.44701 -0.23674 -0.11769 0.05018 0.17323 0.27396 -0.72415 0.43401 -0.88949 -0.03620 1
-0.76626 -0.54224 -0.40017 0.38824 0.57410 -0.38721 -0.75982 -0.62611 -0.44181 0.49513 2
-0.82760 -0.27372 -0.98631 0.62455 0.29539 0.07805 -0.10231 0.82030 -0.96032 -1.19806 1
-0.68873 -0.37161 -0.33648 0.03213 -0.19507 0.23156 -0.00758 -0.64360 -1.05405 -0.63826 1
-0.75398 -0.82889 -1.55171 1.77329 1.53783 -0.32865 -0.42729 -0.31625 -0.58910 -0.08537 1
0.62823 0.17220 0.14153 -0.63141 -0.76788 -0.52528 -2.06410 -0.28361 -0.60279 -2.30559 2
-0.57311 -0.61315 -0.48926 0.58954 0.35602 0.35532 0.42191 0.47061 0.20162 -0.57667 2
-0.42875 0.55583 1.65829 -1.08927 -0.99683 -0.03665 -0.36678 0.90756 1.85528 -1.65465 1
1.30355 2.37594 0.85907 -0.63415 -0.52899 -0.69703 -1.76526 3.56105 0.16425 2.30935 2
0.67791 0.14115 1.42701 -1.15382 -1.15609 1.26145 1.35936 -0.73865 -0.94544 0.96613 1
-0.40011 -0.26597 -0.67547 0.06987 0.21757 0.81956 0.23059 0.65969 -1.04866 -0.79964 1
3.09233 1.75162 2.01060 -1.35238 -1.19772 -3.97360 2.58996 -2.05957 1.43368 1.42764 2
0.52355 0.14173 0.37302 -1.02253 -0.92715 -0.97689 0.64456 1.04537 -0.66769 1.00946 1
-0.03667 -0.33746 -0.64034 -0.32289 -0.40682 -0.17104 -0.70544 -0.40094 -0.62468 -0.74820 1
-0.62768 -0.42466 -0.54470 0.31767 0.20037 -0.29343 0.02229 0.06359 -0.94316 -0.64801 1
-0.54528 -0.16078 -0.21312 -0.63524 -0.53351 0.00069 -0.40855 -0.44837 -0.79362 -0.26802 1
0.74667 0.16001 0.49744 -1.03238 -1.01673 -0.65798 -1.22405 1.00804 -0.41614 0.42916 2
1.22310 1.65552 0.80384 -0.78731 -0.47741 -1.73867 1.33913 2.34662 0.23969 0.53651 2
-0.48253 -0.65834 -0.65706 0.69621 0.86639 0.77680 -0.44344 -0.49340 0.18193 -1.36718 1
1.49237 2.71402 2.79035 -1.55478 -1.55878 0.09166 1.12555 -3.32790 1.25335 0.49695 2
0.40347 -0.25029 0.18617 -0.53021 -0.30095 1.08800 1.17842 -0.65140 -0.68029 0.86298 1
1.22234 1.31387 3.06925 -1.67786 -1.57507 -1.08766 1.40372 1.42070 -0.90930 1.03336 1
-0.67027 -0.43067 -0.66256 0.41066 0.60487 0.31895 0.12284 -0.57317 -0.32519 0.03438 1
-0.73785 -0.84961 -1.38243 1.93467 1.98758 0.45484 0.06184 -0.33084 -0.61228 0.21837 1
-0.67728 -0.36592 -0.34325 0.08409 -0.14259 0.24551 0.04215 0.39715 -0.02489 -0.38218 1
-0.48065 -0.47951 -0.35129 0.12676 0.34968 0.05468 -0.63954 -0.36649 -0.74909 0.03092 1
0.07279 0.60261 0.66164 -1.00885 -0.96334 -0.12018 -1.09602 1.40605 0.33607 0.99773 2
-0.85956 -0.45720 -0.76667 0.95222 0.92068 0.38021 -0.17297 -0.46430 1.12656 -0.76313 2
0.36066 0.37588 1.46848 -1.26267 -1.26197 0.48452 0.81583 0.75582 -0.89571 -0.03253 1
-0.21141 -0.67332 -0.83121 1.25636 1.48625 -0.03912 0.25063 0.57068 0.76295 2.12852 1
2.05310 2.85974 1.84873 -1.54384 -1.48186 -3.45962 -2.01953 -3.65881 -0.66807 1.84629 2
0.04984 0.60189 -0.05653 -0.32234 -0.39506 0.10625 -0.86945 -0.62006 -0.52958 2.11079 1
-0.43680 -0.01475 0.51564 -0.44159 -0.28556 0.45150 0.13389 0.45820 -0.99332 -0.05813 1
0.34113 -0.00068 0.81273 -1.23204 -1.21310 -1.76038 -0.65264 0.31565 -0.99068 0.36644 1
-0.76337 -0.87023 -1.31662 2.24100 3.02189 0.36740 0.14654 -0.30596 0.10004 0.65228 1
0.24591 0.09289 0.04250 -0.05649 -0.07472 -1.33555 -0.61384 0.69942 -0.62178 1.99778 1
-0.71718 -0.41705 -0.62659 0.50913 0.77499 0.33544 0.15237 0.50577 -0.02520 -0.51655 1
-0.85669 -0.59637 -1.09063 1.08350 1.00756 0.10887 -0.34491 -0.29529 0.82192 -2.03308 1
-0.67349 -0.18885 -0.41816 -0.24850 -0.41678 0.08057 0.14358 0.49572 0.72319 -0.64286 1
-0.82707 -0.51569 -0.86591 1.17431 0.78404 -0.01246 0.05973 -0.39349 2.12350 0.04001 1
0.18786 -0.39686 0.11508 0.51186 0.47637 -0.48490 -1.11611 0.67791 1.02629 -0.62165 2
-0.69654 -0.65290 -0.88368 1.13109 1.01480 -0.16059 -0.56677 0.37114 -0.48788 -0.30008 1
0.19681 -0.47884 0.32604 -0.74902 -0.82670 0.87346 0.42150 -0.36866 2.19722 0.42968 2
-0.68071 -0.56797 -0.41816 0.39644 0.50080 0.22728 0.05220 -0.30992 0.99850 -0.17585 2
0.50865 -0.11419 0.31885 -0.02093 0.04382 -0.31510 -0.99296 -0.43650 -0.75907 1.53951 1
-0.39264 -0.32958 -0.30813 -0.30648 -0.28556 -0.10676 -0.64132 0.77441 -1.03125 0.87531 1
0.16748 -0.07433 -0.22179 0.42161 0.57501 0.47227 0.93154 0.48908 -0.44171 -0.61231 2
0.65328 0.88640 2.49178 -1.48039 -1.41671 1.51406 1.31047 1.39745 -0.90829 0.54128 1
0.26212 0.34138 1.15679 -1.21836 -1.22124 1.46086 0.73620 1.04362 -0.88384 0.26431 1
0.45292 0.06900 0.23378 -0.44980 -0.28918 -1.55899 0.28440 0.84806 -0.85307 1.20115 1
-0.38955 -0.06985 0.43375 -0.63086 -0.68011 0.77238 0.29350 -0.53543 -0.64594 -0.43091 1
-0.65552 -0.65322 -0.93934 0.48998 0.22119 0.14753 0.18188 -0.35017 -1.05771 -0.03363 1
-0.30842 -0.07565 0.16120 -0.36337 -0.50546 0.31538 -0.36264 -0.78550 -0.75845 -0.03351 1
-0.65589 -0.39104 -0.87501 0.33244 0.10898 -0.32099 -0.27975 -0.30883 1.03845 0.21333 2
1.21052 2.15214 1.20292 -1.02198 -0.86380 -1.03223 -1.28770 2.14409 -0.38117 2.14200 2
-0.80259 -0.42761 -0.98229 1.01786 1.11343 -0.25012 -0.57582 -0.08546 -0.76141 -0.21378 1
-0.85250 -0.60101 -0.99245 1.07639 0.94783 0.10922 -0.35047 -0.28713 -0.74789 -0.10388 1
1.45105 2.00535 3.42812 -1.78234 -1.69542 1.63227 1.63183 -2.08431 -0.94670 0.85685 1
-0.42689 -0.18333 -0.11388 -0.20911 -0.31000 -0.27336 -0.78864 0.10198 -0.91245 0.42183 1
-0.67501 -0.40890 -0.56099 0.39097 0.31349 0.23301 0.14340 -0.59324 -0.32870 -0.69369 1
-0.75539 -0.37823 -0.48333 0.68910 0.90983 0.23691 0.03124 0.57033 1.11046 -0.81937 2
0.23830 0.12017 1.26598 -0.80099 -0.69820 -0.74836 -0.58747 0.80317 -1.03459 1.30784 1
