A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 Class
-0.12032 -0.14329 0.16890 -0.10247 -2.10311 0.68430 2.96921 0.01545 -1.75664 2.70599 -1.85112 -0.90722 1.52247 0.51157 -1.11450 -0.13749 2.99526 0.59535 0.69184 0.20697 0
0.25713 -0.04257 -0.09231 1.26631 -0.00210 0.10919 0.47183 -0.30056 -0.76496 0.39447 1.01948 -0.12568 -0.03809 0.58831 -0.51016 -0.25441 -1.28628 0.24916 -0.29581 0.55069 1
-1.61933 -0.26469 -0.97251 -0.72513 -0.60153 0.84692 -0.13360 -2.17028 -1.26602 -1.23823 0.58500 -1.71603 -0.39715 -0.14072 1.93045 -2.59739 -0.59705 -0.11075 -0.44943 1.20038 0
0.03039 -0.73960 -0.53371 -1.82083 -0.46392 -1.56458 -0.79891 0.49217 -0.04042 0.82859 -0.16924 -3.65291 -1.61253 -0.48133 -0.62240 -2.38720 1.03216 -1.42040 -0.10957 -1.10319 0
-0.34974 -0.18598 1.30837 -0.49767 -0.04439 0.14819 -0.15992 -0.01628 0.46584 0.65535 0.97926 0.28937 0.45719 -0.44364 -1.41269 -0.89681 -0.45760 -0.09834 0.30575 -0.95897 1
-0.01872 0.58376 -1.33937 0.79127 -0.22429 0.38419 1.23387 -0.62737 -1.11551 0.78815 0.96212 -0.14497 0.35536 -0.45575 0.04304 0.02541 -0.68421 -0.27013 0.84954 1.51579 1
0.05529 -0.29804 0.52085 0.84830 -0.11018 0.21232 -0.88775 0.63397 -0.15054 -0.39761 0.39051 0.26942 0.38644 0.14066 -0.44973 0.17123 -0.46765 0.07868 -0.19453 -0.21492 1
-0.07591 -0.20932 -2.15088 -0.86939 -2.78375 -0.54392 0.01315 -0.09799 0.99491 0.90275 -3.58508 0.39380 -0.44740 3.11398 -0.34679 0.57519 -1.53636 1.67704 2.20968 0.15104 0
-1.08176 0.28894 1.40819 1.74740 1.98949 -0.94518 -0.24021 0.46989 0.95256 -1.39664 1.23441 0.23283 1.02323 0.45233 0.04238 -1.13327 0.48238 3.06508 0.76389 -1.36536 0
1.07930 -0.66890 0.24344 -0.43930 -0.69215 1.12126 0.07369 -0.20467 -0.86140 0.71400 1.01223 -0.33586 1.36245 0.59975 -1.21678 1.87312 -0.03655 1.28121 -0.01101 0.39366 0
0.49463 -0.93570 2.23654 0.27596 -0.07191 -2.41866 -1.37407 -0.31541 0.02278 -0.09966 0.42347 1.61499 -0.94731 0.85690 -0.67685 -0.27740 -2.67279 -0.70189 -0.10753 1.78201 0
0.95550 0.65046 0.07686 0.63225 0.41407 -1.02781 -0.18625 0.39156 -0.21504 0.02708 -0.35055 1.24917 1.19449 0.64351 -1.01555 0.01030 -0.12639 0.37327 -0.12928 0.45229 1
-0.10619 -0.13995 1.02772 -0.11320 -0.03634 -0.00319 0.50012 -0.10676 0.14658 -0.17448 -0.06639 -0.43896 0.90751 0.36684 0.36315 -0.19858 -0.99061 0.50195 -0.03004 0.51430 1
-0.09206 -1.60939 -2.25847 0.70739 -0.26322 1.52053 -0.88578 2.43279 -1.69019 -1.17958 -0.39077 1.50392 -0.08173 -0.27939 0.46741 -1.89325 1.82933 -2.01873 -0.16191 0.88160 0
-0.40760 0.17888 0.44113 -0.20043 -0.35115 2.25033 0.74164 -0.92987 -0.65811 -0.67130 0.20195 0.99708 1.24607 -0.11110 0.11477 0.70984 -0.55682 1.04344 -0.01508 0.05331 1
-0.12704 -1.21318 0.11575 -1.06062 -0.34108 -0.17836 -0.15729 -0.36808 -0.44048 -0.94903 0.72873 0.98311 0.60002 0.36886 -0.13427 0.64219 0.15922 -0.00558 1.15338 -0.30928 1
-2.29887 -0.24201 1.87941 -0.20848 -0.52501 -1.38808 0.00459 -1.26681 0.09575 -0.15426 -1.38499 -0.12767 -0.14918 -1.16862 0.83799 -0.06590 1.31174 -0.71756 1.32943 0.02905 0
0.38564 -0.32739 -0.57065 0.60541 1.62366 0.64927 -0.41262 0.26124 0.40329 -0.05786 1.10782 0.57871 0.67871 -0.09831 -1.01090 0.40769 0.89807 0.12179 0.68300 -0.08620 1
-1.13760 0.77119 1.03290 0.67317 0.50737 -0.49567 0.33363 -0.11959 0.06839 -0.70501 0.47160 0.29602 0.44860 -0.17101 -0.96441 -0.34243 0.08145 0.01924 0.22826 0.30605 1
-0.87924 -1.08712 -0.48704 0.25919 -2.75489 -1.79132 1.25296 -0.76106 1.12132 0.06078 0.52171 -2.12442 3.51351 -0.27670 1.07441 1.47244 -1.69727 2.34526 1.83515 0.36064 0
-0.74334 0.88725 -0.11305 -0.25679 0.30667 -0.31190 -0.69231 -0.20332 0.21173 0.62838 -0.16265 0.29868 0.30841 -0.24640 -0.08579 -0.57758 -0.31814 0.45165 -0.14831 0.65246 1
1.03355 0.55841 -0.41509 0.70136 -0.07057 0.43905 -0.49752 -0.39644 0.64828 0.92027 -0.15210 -0.14696 0.48364 -0.19120 -0.89269 -0.53160 -0.20685 -0.17476 -0.50041 -0.37397 1
0.61035 1.17273 -0.07546 0.10553 -0.37733 -0.02236 -0.10859 0.81628 1.12848 -0.18796 0.77686 -0.08776 0.36594 0.78083 -0.08247 1.49675 -0.37111 0.96702 0.67756 0.67268 1
0.82431 -2.59324 -2.05754 0.01764 0.99738 -1.11573 0.44616 1.37740 -0.16683 -0.85466 0.80850 -0.42566 -1.57285 0.24836 0.92366 1.51382 -0.00839 2.51313 2.59237 -2.28666 0
1.19973 0.90726 0.47937 -1.50211 1.40013 -0.28545 2.27231 -0.24856 0.50559 -0.10774 -0.69075 0.71439 -0.28341 -0.42681 -0.08247 -0.29908 -0.23635 -1.79860 -0.22716 -1.27775 0
-0.42712 0.86057 0.65178 1.20660 -0.71967 -0.14201 -0.39222 -0.11959 1.05420 1.23508 0.78543 -1.14401 -0.03676 -0.12927 -0.65361 -0.23208 -0.97586 -0.18456 0.44170 0.63426 1
0.75097 -1.15182 -0.13120 -0.55135 -1.02374 -0.28876 1.24901 0.86355 -2.00619 0.33245 1.66823 1.89502 1.28045 2.02347 0.06762 -0.68465 -0.33624 2.52227 -0.26115 -0.17785 0
0.68638 -0.15997 -0.42546 1.87757 -0.10481 -0.38131 0.68636 -1.18781 -1.61656 0.60883 1.92668 0.94520 2.83771 -0.45777 -2.94546 -0.48891 -0.51660 0.50848 -0.65403 0.53384 0
-0.11359 0.57242 -1.43336 -0.17628 -1.16672 0.47938 0.84956 -0.18914 -4.17851 0.00483 -0.48373 -1.53511 1.02918 -0.28343 -1.02219 0.18765 -2.02043 0.13877 -1.24472 -0.21762 0
0.84382 0.18555 0.75095 -0.42453 0.25633 0.59771 -0.74561 0.17008 0.42284 0.22190 -0.34989 0.88866 -0.08702 -1.26152 0.64871 -0.93359 -0.07879 0.03165 -0.14899 0.73940 1
-0.79043 0.65046 -0.09749 0.12164 0.10462 -0.24645 -1.17731 0.41182 -0.61315 -0.19201 -0.23385 -0.53141 0.12392 -0.06734 -0.75987 -0.02057 -0.30943 -0.33479 -0.12316 -0.20481 1
0.06538 0.75985 1.20596 1.76082 -0.78411 -0.33173 -0.12834 -1.08585 -2.24206 -0.07943 2.98354 -1.40674 2.13876 1.07634 -1.82975 0.17451 0.91952 0.78543 0.49200 -0.94886 0
1.61957 0.24825 0.27974 0.25717 -0.04842 0.97054 -0.61005 0.18021 1.35653 -0.56075 0.81839 -0.13698 0.05581 -0.33930 -0.78842 -0.42256 -0.50386 0.16686 0.72990 -0.25266 1
-0.15194 -2.54855 -0.06962 -0.38361 -0.77672 2.80164 -0.41262 0.28690 1.62237 -1.80178 2.08425 0.54412 -1.54905 0.85218 0.16258 -0.99993 2.38447 -0.34459 -2.00738 0.93148 0
-0.13512 0.59576 0.33483 0.59937 0.37782 -0.10962 -0.55543 0.40574 -0.50108 0.70860 0.68587 0.52483 0.66284 -0.77954 -0.13826 0.70918 -0.09890 1.51832 -0.16734 0.88160 1
0.90841 0.77386 -1.09048 -0.11924 -0.50017 -0.20216 0.37641 -0.38564 -0.56624 1.22632 0.01404 -0.40437 0.97495 1.12616 -0.11634 0.75648 -0.11835 0.37719 0.70679 0.52171 1
-0.11762 0.91860 -0.19990 0.72954 -0.06185 -0.42560 0.41194 -0.24114 0.37071 0.32166 0.13733 1.33697 -0.38260 0.69601 -0.21397 -0.40614 -0.04728 0.17927 -0.15919 -0.10911 1
-0.60474 0.62178 -0.32435 0.27193 1.77334 -0.08912 0.15595 -0.07435 1.46664 1.57955 0.01273 -1.04956 0.84469 0.62062 -0.23721 -0.61239 0.00167 -0.15125 0.72175 -0.46631 1
1.04028 0.13486 0.66604 0.60004 -0.58609 0.03053 -0.15729 0.31188 0.65805 0.07022 0.59950 -0.98437 -0.62660 0.64889 -0.04528 1.44683 -0.76936 0.07541 -0.79746 0.92271 1
0.32441 -0.04124 0.26159 0.81542 -0.24308 0.72463 -0.70349 -0.16821 -0.39031 1.10026 -0.23979 -0.68107 -0.50691 -1.60617 -0.26510 0.14758 0.42338 -0.82795 0.62183 -0.06530 1
-0.61281 0.37031 -0.55510 0.09480 -0.04574 1.34998 0.33231 -0.79078 0.39156 -0.41244 0.20129 2.33800 -0.23117 0.26452 0.20442 -0.11253 1.31710 -0.78027 -0.85252 0.55743 1
-0.87992 -0.34540 0.04445 -2.62062 -3.54360 0.41327 -0.94303 -0.81238 -0.02088 1.66112 1.69197 2.21761 -0.03742 -1.24402 -0.18076 -2.56717 0.02111 -2.24734 -0.40253 0.57900 0
0.33652 -0.17864 1.26235 -0.66743 -0.74182 0.20703 -0.21652 0.60223 -0.05867 0.26571 0.63511 -0.19086 -0.10487 -0.12927 -0.82827 0.43922 0.38181 0.39352 -0.22852 0.34177 1
1.01135 0.37231 0.55780 0.16055 1.05914 0.32734 0.38364 0.45908 0.28015 1.12183 -0.10067 0.97313 0.10607 0.11710 -0.22260 0.41229 0.77940 -0.05196 0.23914 0.58911 1
-2.49129 -2.70863 -0.86946 2.16810 -0.54917 3.59622 0.03618 2.10800 2.53065 -1.61775 1.50670 -2.99376 -2.17129 -1.44058 -0.58985 -1.55103 1.76229 -0.44453 -1.33241 -1.29123 0
0.80951 1.43153 -0.28481 -1.41690 -0.07997 -2.11391 0.78441 -0.10609 1.67124 2.12626 -1.14501 0.62527 -0.07379 2.09550 0.66067 -0.70370 0.47970 1.04410 0.57560 -3.22211 0
-2.08828 -0.42677 2.72007 1.31798 -0.18871 -0.85197 -0.15992 -0.13985 -2.35804 -1.76605 -0.46856 1.61699 0.21385 -1.07775 -0.95246 -1.66401 -0.05398 -2.52234 0.10999 0.83308 0
-0.74939 0.03480 -0.27250 -0.24874 0.06435 -0.15391 0.00394 -0.08110 -0.66202 0.78073 -0.19627 1.19928 -0.00106 0.19115 1.42174 -0.62619 -0.14181 -0.11532 -0.20949 0.94495 1
-0.16809 0.53173 0.99855 0.48195 -0.11622 0.43112 -0.86472 -0.53216 -0.29714 -0.44480 0.10767 0.03529 0.35801 -0.16226 0.89443 0.49308 -0.15053 0.19495 0.06648 0.74007 1
0.67494 0.28760 0.58956 -2.04896 -1.88428 -3.20134 -2.56518 -0.08786 -0.85879 -2.23726 -0.76986 -0.14231 -1.06898 -0.07744 0.77224 -0.28134 0.89136 -0.05784 1.96294 0.09914 0
-0.19163 0.05348 -0.72880 -0.36549 -0.32833 0.59771 -0.05068 0.28622 -0.21765 -0.16841 0.21975 0.38116 0.76005 0.41261 0.12805 0.50753 -0.55280 0.79850 0.05425 0.05601 1
1.74404 1.21409 -1.81059 0.05991 0.79265 0.67968 1.11674 -1.75501 1.56242 -0.31672 1.57461 0.15235 -3.10828 -1.03332 -2.35440 -0.41403 1.02746 0.42944 0.39072 -2.24083 0
1.24885 0.90192 1.00633 -1.09685 -1.21975 0.29957 -0.79431 -0.12162 1.16627 0.44840 -0.73954 -0.23143 -0.52807 0.70005 0.72575 0.82282 -0.51325 -0.20611 -0.13540 0.41725 1
0.23358 0.48571 1.29541 -0.07496 -0.29208 0.65852 -1.13190 -0.49907 0.54142 0.17201 0.81575 0.43238 0.09549 -0.07206 -0.02005 -0.89549 1.59467 0.82985 1.20436 -0.15292 1
-0.61214 -1.14982 0.09566 -0.07898 -0.13031 -0.28545 -1.15493 2.38755 -1.98730 -0.13943 0.78675 1.63295 0.20261 -1.11679 -0.56063 -0.06064 -0.96178 -1.73459 0.97733 -0.05722 0
0.09700 -1.46998 0.18511 0.11694 -0.44781 -0.19357 0.47117 -0.21683 -0.30040 -0.45559 -0.42439 0.84676 0.08359 -0.03167 0.17786 -0.13749 1.25810 0.54179 0.25069 0.56821 1
-1.96516 1.15205 -3.24757 -2.58506 0.33822 2.36469 -1.32669 -1.39511 -0.91547 0.57783 -0.77909 -1.34621 0.26212 -0.92763 -0.39992 1.11446 -1.16225 -0.58039 -0.11093 -0.39824 0
-0.90817 0.04814 1.40236 0.75369 -0.34176 -1.49517 -2.51319 2.44494 0.94344 0.57985 1.39726 -0.20682 -2.18253 0.04978 -1.22474 -0.27412 -0.38049 2.17216 1.24990 -0.84574 0
1.43925 -0.14863 -1.42169 -0.78954 2.01164 0.33329 2.10648 2.02765 -0.19745 -0.32750 1.07486 0.75763 -0.43087 0.67918 0.65469 0.22772 -0.70701 -0.02779 1.82631 -0.95897 0
-0.24209 -0.26602 0.28298 0.61480 -0.29477 -0.16448 0.35337 -0.21818 0.70301 -0.18796 -1.69025 0.97047 0.02672 -0.01349 -0.13627 0.73020 -0.04594 0.16033 1.24038 0.63224 1
-1.88778 0.63178 -0.68343 0.33702 0.26975 -0.68010 0.29744 0.51310 -0.47632 -0.30930 -0.57867 -0.97772 1.48147 -0.06802 1.01398 0.48454 -1.59871 0.07802 0.22826 -0.42385 1
-0.13915 1.01465 -0.07870 -0.73519 -0.33773 -0.53930 -1.89658 -0.25734 -0.04042 -0.33896 -0.26880 -0.80345 -0.76150 -0.45643 -0.31757 -0.65049 -1.79717 -0.23159 0.17524 0.84454 0
1.71981 1.38618 -0.42611 -0.14541 0.32815 0.32734 0.79626 -2.05549 -0.05280 -2.63903 0.01273 -2.35257 0.88502 -0.14004 0.26818 0.37157 -0.32954 -0.23551 0.45665 -1.10724 0
0.40380 -0.96905 0.44956 -2.78702 1.01685 -0.80900 -3.37856 -0.14930 0.99947 -1.49304 1.54956 0.61928 -0.93805 -0.24371 0.53847 -0.07838 0.74721 1.00556 0.22078 -0.56673 0
-0.12704 -0.93237 -0.58750 -0.39770 -0.14844 -0.90089 -0.52845 0.03639 -1.04839 0.61692 -0.01167 -0.12435 1.11580 -0.34132 0.15594 0.85566 0.78543 0.08260 -0.28290 -1.00817 1
-0.14117 -0.53483 -0.14416 -0.08100 -0.14642 -0.18299 0.45603 0.16806 -0.35383 -0.17313 0.83619 -0.03921 1.41403 -0.27468 0.73970 -0.81733 -0.09890 -0.22114 -0.50381 -0.97514 1
0.58479 -0.08126 0.50271 0.44169 -0.02291 -0.38792 0.33166 -0.64628 0.16612 -0.82972 -1.65662 -0.29063 0.92536 1.38936 -1.09192 0.30851 -0.65270 0.60711 -1.08498 -0.17314 1
0.91514 0.83389 0.54354 -0.68152 -0.69617 -3.66473 0.24676 0.50702 2.44334 0.88320 0.80587 -0.23010 0.55704 -0.27400 1.04120 -1.25085 0.79549 0.65218 -2.12362 0.09779 0
-0.48363 -0.81898 -1.49817 -0.14742 0.06166 -0.12350 -1.68665 0.79805 0.79944 -0.96723 -1.96715 2.02472 -0.50030 1.42369 -0.21729 2.45180 -0.27993 -2.15263 -0.69414 -0.92729 0
1.11160 -0.20732 0.99596 0.50476 -0.10011 0.15348 -1.08188 0.52458 0.56553 0.55423 0.09646 -0.22279 0.11400 0.74179 -0.29432 0.35974 0.42472 -0.03106 0.78496 0.00142 1
-0.05640 0.89926 -0.68278 0.58461 0.01736 -0.47716 0.80415 -0.11757 -0.18377 -0.12595 0.39578 -0.61455 0.55043 0.40521 -0.42183 0.16137 1.13474 -0.62873 -0.08442 1.46390 1
0.60295 -1.16849 -0.01971 0.38533 -0.12696 0.50318 0.37970 1.10326 0.55250 0.60681 0.21513 -0.00595 0.19997 -0.38238 -0.09509 -0.41731 0.59301 0.46994 0.08620 -0.37802 1
0.35267 0.69515 0.12223 0.62822 -1.43052 -0.05541 0.32113 -0.10811 0.41567 0.60074 0.56654 -0.47288 -1.05906 1.07971 -0.37003 -0.75427 -0.52531 -1.03828 0.18952 -1.07758 1
1.51192 0.02146 0.54873 -0.27021 -0.18468 0.51574 -0.14940 1.53338 0.00453 -0.54457 0.30216 -0.04120 0.74219 -0.12120 0.02644 1.19919 -0.13980 0.29227 0.12018 -0.14550 1
0.56326 1.30413 -0.59139 -1.25385 -0.96870 1.24553 1.87286 -0.16078 0.20000 -1.59281 0.51314 -0.02524 -0.17959 0.62197 -0.24916 0.64678 -0.41804 -0.10095 -0.10481 0.02366 0
-0.77429 -1.29056 -1.95837 -0.22995 1.54646 -0.80636 0.01841 -0.73135 0.61375 -0.61063 1.01223 -1.72068 -0.67223 0.25240 -1.58403 -2.41807 0.32550 -2.07033 -0.52964 -1.47050 0
1.02009 0.72250 3.20620 -1.22165 -2.45551 -0.24579 0.74558 0.00735 0.55641 0.41402 -0.15342 -0.61123 -2.04565 -1.14506 -0.15220 -1.69422 -1.01408 -0.22702 0.15009 1.70383 0
-1.02121 -0.00322 -0.74112 0.33970 0.82689 0.34056 -0.23560 -2.19864 1.21840 1.66584 -0.83909 0.09914 -1.02269 -2.39242 -2.35705 -1.33296 -2.23498 -0.20154 -0.25163 0.34446 0
0.53836 0.01012 1.31550 0.41351 -0.00210 -0.31652 0.40273 0.26394 1.47902 -0.09089 0.82433 0.71772 0.04060 0.54725 -0.94914 -0.62093 -0.28730 0.82724 0.81895 -0.39217 1
-0.71844 0.41967 0.18511 -0.02061 1.04168 0.37559 1.15885 1.07625 0.45346 -0.37402 1.31023 -0.93848 0.52795 0.77544 0.01316 0.02803 -1.13208 -0.46609 -0.55343 -0.13135 1
0.65005 0.12552 0.53835 1.99901 0.24424 0.05300 0.39812 -0.34917 -0.13425 0.19156 -0.08353 0.77825 0.37321 1.59669 1.39185 0.53906 0.62653 0.53330 -0.81921 -0.04913 1
-0.09744 1.36083 -0.70029 -0.69024 -0.90896 -1.17258 1.53198 -2.93599 1.39888 -0.60793 0.79598 -0.53873 1.09663 0.47656 -1.61923 -0.12436 1.00132 1.89782 0.35877 1.19769 0
0.68840 -1.54336 0.25187 -0.43795 0.36641 0.86080 0.80942 -1.10476 -0.08082 0.20100 0.14656 -0.17224 -0.12273 0.81381 -1.66970 -0.81602 0.40595 0.97943 0.57696 -0.04374 1
0.80749 -0.67490 1.58060 1.00262 2.24523 -0.12019 -1.37275 -0.26004 0.51471 -1.84627 1.60296 0.10712 0.90420 0.04642 -1.96589 0.35186 0.34494 -2.77120 1.00723 0.04657 0
-0.00190 -3.28226 -0.74566 -2.33278 -0.17596 -2.15358 -1.64256 0.82101 -1.26993 -0.41244 0.83224 -1.87832 -1.10865 -1.58800 -1.09458 -0.64524 -0.03454 0.98792 0.83050 -0.77026 0
-0.58321 0.89392 -1.09631 0.52892 1.40483 1.73471 2.49079 -1.07842 -1.57551 1.31800 0.89157 -1.16928 -0.82167 1.23790 -1.11052 -1.22655 -0.19277 0.11526 0.43286 0.77781 0
-0.06447 0.95328 0.29011 -0.01122 0.16034 1.04193 0.76006 0.50770 1.19103 -0.46502 0.08723 -0.16426 0.68268 1.06221 -0.34214 1.02841 0.18671 0.93501 -0.15851 0.09914 1
-0.26295 -2.07096 -0.41315 3.10343 1.21151 -2.12515 0.72650 2.46453 2.84536 2.21254 -0.52329 -0.55868 2.11429 -1.31335 -0.32819 0.55877 0.13710 -1.33744 -1.59682 1.48884 0
-0.95729 -2.30442 -0.78260 -0.98815 -0.22563 0.48268 -0.62058 -2.26143 0.56097 0.29537 0.01932 -0.94846 1.21168 -0.06532 -0.66423 -0.14143 -0.85719 -0.12055 0.23166 0.01153 0
-0.16607 -1.18317 0.50400 -1.31089 -2.34207 1.03334 -1.56096 -0.07840 3.33533 -0.39087 0.28040 0.89066 0.41553 -0.97947 -0.47563 1.51185 -1.63827 -0.12381 -0.64452 -1.72930 0
0.51145 -0.10460 -0.11888 0.37526 -0.12561 0.29627 0.08356 -0.13782 0.01366 0.25156 -0.73492 -1.09811 0.19071 -0.28545 0.50593 0.00701 2.02846 -0.08789 1.36681 0.40849 1
-0.08129 2.76823 1.87746 -0.75935 -0.29074 0.99566 -1.14901 0.85950 0.72777 0.17134 -0.24308 2.46438 -3.25310 -1.68359 -2.07680 -0.06852 -0.24573 -0.33937 0.44238 1.49153 0
0.54240 -0.05458 -0.55186 0.48061 -0.55991 -0.93857 0.86996 0.60088 0.73429 0.71265 0.18546 -1.04291 -0.52212 -0.34603 0.26884 0.43528 0.45221 0.71554 0.55997 -0.22166 1
-1.17393 -1.50000 -2.42440 -0.08167 -1.26472 -0.28149 0.71729 -0.11081 2.63164 0.68838 -1.38433 -2.08784 0.37454 -1.21642 -1.30709 2.29547 -0.00437 -0.46478 0.71699 0.75423 0
-0.52333 -0.01122 -0.11435 2.58947 0.15967 -0.13738 0.62516 1.04316 -0.39813 -0.11853 -3.25477 -1.46726 0.16756 2.45160 -0.28503 2.06361 0.81024 -1.86327 0.24729 -1.72997 0
-2.09232 -1.70544 -0.78908 -0.17359 -0.17931 -0.31388 -0.73311 -0.94068 -0.36490 1.36384 -1.20632 0.98777 -0.36276 -0.13601 1.40314 -0.19661 0.70162 0.04341 -1.52477 0.41927 0
-0.58321 -0.37875 -1.28558 -0.01524 0.25297 1.69769 -0.26456 -3.96437 0.20847 0.29065 2.25501 -0.06448 -0.13000 0.58225 0.37244 1.76868 1.15820 -0.65159 -0.80154 -1.13487 0
-0.99833 -0.82164 -0.21157 0.36453 1.49075 -0.17506 0.55540 0.24908 0.59811 0.63917 0.04833 0.25212 -0.37466 0.15614 -0.22526 -0.69253 0.78543 0.33734 -0.07490 0.41523 1
-0.17414 1.36550 0.19288 -1.22836 0.44696 -1.11904 -0.16387 0.67651 -0.48218 -1.58472 -0.00771 -0.59261 0.00225 -0.78493 -1.82112 -0.23865 0.62988 -1.58174 0.08212 -1.33099 0
-0.21989 -0.10594 0.36400 -0.24270 0.10999 -0.45204 0.38628 -0.16889 0.12507 0.01697 -0.15276 0.44435 -1.40688 -0.89465 0.85857 0.65795 -1.29165 0.40331 0.26904 1.24756 1
-0.06716 0.24691 0.40743 1.48706 -0.45520 0.51706 -0.10530 -0.17091 -0.01957 0.93038 0.37666 0.06256 0.00093 0.90940 -0.05724 0.13116 1.29766 -0.41514 1.06433 0.69694 1
-0.39953 0.61110 1.35180 -0.78619 -1.18417 0.36898 -1.04898 -0.32419 -0.83012 -0.04707 -0.17781 -0.64582 0.36660 0.58696 -0.38265 0.10423 -0.26920 0.33342 -0.03276 0.15980 1
-0.13175 0.73250 0.39641 2.29760 1.37999 1.85304 0.12568 -1.80498 0.14788 -0.66254 -4.69930 3.02642 -0.54328 -3.09990 -0.25049 -0.77595 -2.19073 1.25704 2.11316 2.46068 0
-0.09206 0.57442 -1.27585 -0.29772 -1.22780 -1.29488 0.39483 0.18831 0.24496 -0.84455 2.28204 -0.22279 -0.17166 -0.95254 -2.33115 -2.42070 1.90912 -2.61313 1.76378 -0.11585 0
-0.21114 3.73941 -0.24787 -0.69628 -0.03298 1.99054 -0.61399 0.52323 -0.85749 1.80673 -0.76525 1.19396 -1.36390 -0.23631 -1.87026 -1.50505 -0.12505 -2.15459 1.96498 -1.70369 0
-0.48161 0.05081 -0.53760 0.04179 0.19793 -0.13011 0.39352 -1.06019 -0.12252 -1.20115 -0.06837 -0.18687 -1.41085 -1.47222 0.57832 0.30982 -0.61247 0.06365 -0.79406 -0.67186 1
-0.51391 2.93632 -2.08865 1.53403 -0.14374 0.34452 -0.88775 -0.29718 -0.24697 0.26571 0.41292 1.02701 0.27866 -0.26189 0.64406 0.02146 -0.10762 -2.80909 -1.76268 -0.19942 0
2.06362 -0.91436 -0.25435 1.53403 0.82152 -2.98253 0.55145 -1.27222 -1.20542 1.47237 -0.75997 -0.55602 1.53636 1.77306 -0.27639 -0.06261 -0.29669 0.34322 -1.39222 -0.29445 0
-0.43452 -1.16649 0.08529 -0.88885 -0.10145 -0.03029 0.56396 -3.08927 -0.20332 -1.43709 1.21331 0.77359 -1.30306 -0.12120 -1.57407 -1.86435 -0.27590 -1.01411 2.43468 -2.26105 0
0.13670 0.03881 -1.19224 1.56691 0.75506 0.35047 -0.29088 1.33959 0.08924 0.64052 0.01141 -0.68639 -0.71851 -0.25717 -0.08513 0.33150 0.10626 0.73056 0.25681 -0.08350 1
